GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report.dynamic,DynamicDataProvider,70,511,8,24,13,108,11,25,3,17
Siddhi io report extension,org.wso2.extension.siddhi.io.report.sink,ReportSink,77,499,8,40,8,110,9,34,2,17
Siddhi io report extension,org.wso2.extension.siddhi.io.report.sink,ReportSink.new Object() {...},4,29,0,0,0,1,0,1,0,1
Siddhi io report extension,org.wso2.extension.siddhi.io.report.source,ReportSource,15,0,0,0,10,0,10,0,10,0
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,ChartGenerator,294,93,0,2,120,34,5,5,5,4
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,DynamicReportGenerator,152,330,24,14,23,56,17,11,0,7
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,RangeStatusLightCondition,5,24,1,1,2,8,2,2,1,2
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,StaticReportGenerator,28,206,0,8,8,40,0,9,0,5
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,CustomLayoutManager,45,43,3,3,8,14,4,3,1,3
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,DynamicStyleProvider,24,162,6,4,5,39,5,3,1,2
Siddhi io report extension,org.wso2.extension.siddhi.io.report.report,DummyDataProvider,3,0,0,0,1,0,1,0,1,0
Siddhi io report extension,org.wso2.extension.siddhi.io.report.util,ReportConstants.ChartTypes,5,53,0,0,0,5,1,3,1,3
Siddhi io report extension,org.wso2.extension.siddhi.io.report.util,ReportConstants,3,0,0,0,2,0,1,0,1,0
